colour	x	y	group	showSelectedlegendcolour
#66C2A5	1	0.401514137336191	1	train
#66C2A5	2	0.377031862633626	1	train
#66C2A5	3	0.355542712323669	1	train
#66C2A5	4	0.336678585553176	1	train
#66C2A5	5	0.320116869104765	1	train
#66C2A5	6	0.305574794593522	1	train
#66C2A5	7	0.292804497817066	1	train
#66C2A5	8	0.281588692674457	1	train
#66C2A5	9	0.271736883015486	1	train
#66C2A5	10	0.263082045357867	1	train
#66C2A5	11	0.25547772378741	1	train
#66C2A5	12	0.248795485685643	1	train
#66C2A5	13	0.242922693341813	1	train
#66C2A5	14	0.23776055211659	1	train
#66C2A5	15	0.233222400733615	1	train
#66C2A5	16	0.229232213570111	1	train
#66C2A5	17	0.225723288575942	1	train
#66C2A5	18	0.222637097738993	1	train
#66C2A5	19	0.219922279892336	1	train
#66C2A5	20	0.217533758176779	1	train
#66C2A5	21	0.215431966675982	1	train
#66C2A5	22	0.213582172669842	1	train
#66C2A5	23	0.211953882639525	1	train
#66C2A5	24	0.210520321634662	1	train
#66C2A5	25	0.209257976906012	1	train
#66C2A5	26	0.208146197838418	1	train
#66C2A5	27	0.207166845209352	1	train
#66C2A5	28	0.206303983665271	1	train
#66C2A5	29	0.205543612066927	1	train
#66C2A5	30	0.204873427019138	1	train
#66C2A5	31	0.204282615482109	1	train
#66C2A5	32	0.203761672870596	1	train
#66C2A5	33	0.203302243493007	1	train
#66C2A5	34	0.202896980572849	1	train
#66C2A5	35	0.202539423436747	1	train
#66C2A5	36	0.202223889752482	1	train
#66C2A5	37	0.201945380962637	1	train
#66C2A5	38	0.201699499288908	1	train
#66C2A5	39	0.201482374883168	1	train
#66C2A5	40	0.201290601877417	1	train
#66C2A5	41	0.201121182238958	1	train
#66C2A5	42	0.2009714764722	1	train
#66C2A5	43	0.200839160326847	1	train
#66C2A5	44	0.200722186775841	1	train
#66C2A5	45	0.2006187526173	1	train
#66C2A5	46	0.20052726913422	1	train
#66C2A5	47	0.200446336315463	1	train
#66C2A5	48	0.200374720202639	1	train
#66C2A5	49	0.200311332981038	1	train
#66C2A5	50	0.200255215479691	1	train
#66C2A5	51	0.200205521786784	1	train
#66C2A5	52	0.200161505722697	1	train
#66C2A5	53	0.200122508944529	1	train
#66C2A5	54	0.200087950483728	1	train
#66C2A5	55	0.200057317542674	1	train
#66C2A5	56	0.200030157397439	1	train
#66C2A5	57	0.20000607027256	1	train
#66C2A5	58	0.199984703070111	1	train
#66C2A5	59	0.199965743849675	1	train
#66C2A5	60	0.199948916968464	1	train
#66C2A5	61	0.199933978801871	1	train
#66C2A5	62	0.199920713974446	1	train
#66C2A5	63	0.199908932039809	1	train
#66C2A5	64	0.199898464555474	1	train
#66C2A5	65	0.199889162505122	1	train
#66C2A5	66	0.19988089402661	1	train
#66C2A5	67	0.199873542409063	1	train
#66C2A5	68	0.199867004326831	1	train
#66C2A5	69	0.199861188281972	1	train
#66C2A5	70	0.199856013230372	1	train
#66C2A5	71	0.199851407369589	1	train
#66C2A5	72	0.199847307069154	1	train
#66C2A5	73	0.199843655926399	1	train
#66C2A5	74	0.199840403932889	1	train
#66C2A5	75	0.199837506738344	1	train
#66C2A5	76	0.199834925000504	1	train
#66C2A5	77	0.199832623810775	1	train
#66C2A5	78	0.19983057218671	1	train
#66C2A5	79	0.199828742623437	1	train
#66C2A5	80	0.199827110697104	1	train
#66C2A5	81	0.199825654714222	1	train
#66C2A5	82	0.199824355401524	1	train
#66C2A5	83	0.19982319563159	1	train
#66C2A5	84	0.199822160180059	1	train
#66C2A5	85	0.199821235510736	1	train
#66C2A5	86	0.199820409585343	1	train
#66C2A5	87	0.199819671695053	1	train
